HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3634BBTX0OUBUT0GGYOFLHRT9CWIF9,AIYBY09CEI3VN,Approved,Fri Oct 26 14:11:31 PDT 2018,Fri Oct 26 14:17:09 PDT 2018,Mon Oct 29 14:17:09 PDT 2018,Mon Oct 29 09:54:54 PDT 2018,,,338,100% (1/1),100% (1/1),100% (1/1),"""Captain Heist can't make it sir""|""Captain Heist has given me command of the situation sir""|""I'm sorry sir, Captain Heist can't make it because an unexpected emergency came up he had to handle. He briefed me about the business you've discussed and I'm here to continue that discussion with his full approval.""",,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3AQF3RZ558IV195FEXFQOE1O0LZ6F1,A2JOSM70IFOTT7,Approved,Fri Oct 26 13:53:13 PDT 2018,Fri Oct 26 13:57:12 PDT 2018,Mon Oct 29 13:57:12 PDT 2018,Mon Oct 29 09:54:54 PDT 2018,,,239,100% (1/1),100% (1/1),100% (1/1),"It is going to be somewhat insulting in the eyes of the Chinese commander either way it goes because Captain Heist is not going to make it regardless.|I will be conducting this conversation in place of Captain Heist|The boss can't make it because of unexpected business, so forth I am overly qualified to take his place in this instance.",,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3B1NLC6UGZW9PFJF4DKHCZSHW5QPGQ,A2WLGVXAVT2XTR,Approved,Fri Oct 26 14:07:35 PDT 2018,Fri Oct 26 14:09:36 PDT 2018,Mon Oct 29 14:09:36 PDT 2018,Mon Oct 29 09:54:54 PDT 2018,,,121,100% (1/1),100% (1/1),100% (1/1),"I am the one you will be dealing with.|I have been assigned to conduct the business for Captain Heist.|I have been assigned to assume the role for Captain heist because, unfortunately, he had unexpected business come up.",,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3EA3QWIZ4IVLDYIHBIT42L6U0L3ITG,AIX0AZ8DN7CCJ,Approved,Fri Oct 26 14:02:10 PDT 2018,Fri Oct 26 14:09:31 PDT 2018,Mon Oct 29 14:09:31 PDT 2018,Mon Oct 29 09:54:54 PDT 2018,,,441,100% (1/1),100% (1/1),100% (1/1),"Good Morning, Captain Wang.  Captain Heist asked me to apologize on his behalf.  He was called away unexpectantly on an emergency and asked that I meet with you instead.|Good Morning, Captain Wang.  Captain Heist sincerely apologizes for not being here; there was an unexpected emergency and Captain Heist asked me to brief you as I have been involved with this project since it's inception.  |Good Morning, Captain Wang, thank you for joining us today.  Captain Heist was called away on an emergency and asked me to brief you as I have been involved with this project since it's very beginning.",,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3JCG6DTRV3QL2GE87M4I6IMT7OMQQE,A3SY4DJ6ECN8MF,Approved,Fri Oct 26 14:12:01 PDT 2018,Fri Oct 26 14:14:33 PDT 2018,Mon Oct 29 14:14:33 PDT 2018,Mon Oct 29 09:54:54 PDT 2018,,,152,100% (1/1),100% (1/1),100% (1/1),"No.|I'm here in Captain Heist's stead.|Sir, I'm sorry but Captain Heist is dealing with an unforeseen prior engagement. I'll do everything I can in his stead.",,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3MTMREQS4VIYZX3DUZ6287PAR7GWAG,A3SCPCR9V1IODH,Approved,Fri Oct 26 14:07:23 PDT 2018,Fri Oct 26 14:09:08 PDT 2018,Mon Oct 29 14:09:08 PDT 2018,Mon Oct 29 09:54:54 PDT 2018,,,105,100% (1/1),100% (1/1),100% (1/1),No! He is not!|I can help you!|Captain Heist cannot be here because he has unexpected business but I am here to help you.,,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3NGMS9VZTLIRK2YQFQIUIKE1TK2FFD,A27PMJIUIY9CZD,Approved,Fri Oct 26 13:52:50 PDT 2018,Fri Oct 26 13:54:30 PDT 2018,Mon Oct 29 13:54:30 PDT 2018,Mon Oct 29 09:54:54 PDT 2018,,,100,100% (1/1),100% (1/1),100% (1/1),"Sir, my apologies but he is not here. I am the officer in charge. How may I help you|Sir I have taken care of everything. No need to worry. My apologies for my boss not being here|My boss had an extreme emergency and send his deepest apology.",,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3O7L7BFSHEPJOF0KLN493Z6TXBGEIM,A1B179AI3LZKWS,Approved,Fri Oct 26 14:04:50 PDT 2018,Fri Oct 26 14:08:35 PDT 2018,Mon Oct 29 14:08:35 PDT 2018,Mon Oct 29 09:54:55 PDT 2018,,,225,100% (1/1),100% (1/1),100% (1/1),Captain Heist couldn't make it.|I've been tasked with responsibility for this US element and you'll be dealing directly with me now.|Captain Heist got called away on important unexpected business and sends his regrets.  I'm now in charge of this team and you can deal with me directly in his place.,,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3P529IW9KYLDKU8M11LSDXJLQGOLFO,AGYKL5UT62NJ5,Approved,Fri Oct 26 13:55:15 PDT 2018,Fri Oct 26 13:59:19 PDT 2018,Mon Oct 29 13:59:19 PDT 2018,Mon Oct 29 09:54:55 PDT 2018,,,244,100% (1/1),100% (1/1),100% (1/1),"He could not make it he has something else important.|I am responsible for this mission, you can discuss with me.|Unfortunately, my captain could not make it as an unexpected matter came up, however in his absence he has given me the responsibility to discuss. I apologize on his behalf.",,
336OE47KI2KF518HFRRXGA715L7WVU,3MCSZWKJ0Y7LE1MWBO0KV8U0MR261Z,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, DME, 2",$0.25 ,Fri Oct 26 13:47:16 PDT 2018,10,BatchId:3413975;OriginalHitTemplateId:920937336;,600,259200,Tue Oct 30 13:47:16 PDT 2018,,,3SPJ0334213DPV1H3613M3D9S2AJYI,APF1EAZT104LQ,Approved,Fri Oct 26 14:04:53 PDT 2018,Fri Oct 26 14:05:40 PDT 2018,Mon Oct 29 14:05:40 PDT 2018,Mon Oct 29 09:54:55 PDT 2018,,,47,100% (1/1),100% (1/1),100% (1/1),No he isn't|I have assumed control over the mission. You can talk to me. |He has urgent business away somewhere else. I am assuming control now.,,