,n_estimaters,depth,accuracy,f1,dimensions
0,100,2,0.416,0.29702901446105234,10
0,150,2,0.39666666666666667,0.26521103373501237,10
0,200,2,0.416,0.29702901446105234,10
0,250,2,0.416,0.29702901446105234,10
0,100,4,0.3953333333333333,0.24126798467748156,10
0,150,4,0.3953333333333333,0.24126798467748156,10
0,200,4,0.3953333333333333,0.24126798467748156,10
0,250,4,0.3953333333333333,0.24126798467748156,10
0,100,6,0.42733333333333334,0.3022809975381421,10
0,150,6,0.416,0.29970542295667896,10
0,200,6,0.3953333333333333,0.24126798467748156,10
0,250,6,0.3953333333333333,0.24126798467748156,10
0,100,8,0.3953333333333333,0.23977163121936776,10
0,150,8,0.3953333333333333,0.24126798467748156,10
0,200,8,0.3953333333333333,0.24126798467748156,10
0,250,8,0.3953333333333333,0.24126798467748156,10
0,100,10,0.3953333333333333,0.24126798467748156,10
0,150,10,0.3953333333333333,0.24126798467748156,10
0,200,10,0.3953333333333333,0.24126798467748156,10
0,250,10,0.3953333333333333,0.24126798467748156,10
0,100,12,0.3953333333333333,0.24126798467748156,10
0,150,12,0.3953333333333333,0.24126798467748156,10
0,200,12,0.3953333333333333,0.24126798467748156,10
0,250,12,0.3953333333333333,0.24126798467748156,10
0,100,14,0.3953333333333333,0.24126798467748156,10
0,150,14,0.3953333333333333,0.24126798467748156,10
0,200,14,0.3953333333333333,0.24126798467748156,10
0,250,14,0.3953333333333333,0.24126798467748156,10
0,100,16,0.3953333333333333,0.24126798467748156,10
0,150,16,0.3953333333333333,0.24126798467748156,10
0,200,16,0.3953333333333333,0.24126798467748156,10
0,250,16,0.3953333333333333,0.24126798467748156,10
0,100,18,0.3953333333333333,0.24126798467748156,10
0,150,18,0.3953333333333333,0.24126798467748156,10
0,200,18,0.3953333333333333,0.24126798467748156,10
0,250,18,0.3953333333333333,0.24126798467748156,10
0,100,20,0.3953333333333333,0.24126798467748156,10
0,150,20,0.3953333333333333,0.24126798467748156,10
0,200,20,0.3953333333333333,0.24126798467748156,10
0,250,20,0.3953333333333333,0.24126798467748156,10
0,100,22,0.3953333333333333,0.24126798467748156,10
0,150,22,0.3953333333333333,0.24126798467748156,10
0,200,22,0.3953333333333333,0.24126798467748156,10
0,250,22,0.3953333333333333,0.24126798467748156,10
0,100,24,0.3953333333333333,0.24126798467748156,10
0,150,24,0.3953333333333333,0.24126798467748156,10
0,200,24,0.3953333333333333,0.24126798467748156,10
0,250,24,0.3953333333333333,0.24126798467748156,10
0,100,26,0.3953333333333333,0.24126798467748156,10
0,150,26,0.3953333333333333,0.24126798467748156,10
0,200,26,0.3953333333333333,0.24126798467748156,10
0,250,26,0.3953333333333333,0.24126798467748156,10
0,100,28,0.3953333333333333,0.24126798467748156,10
0,150,28,0.3953333333333333,0.24126798467748156,10
0,200,28,0.3953333333333333,0.24126798467748156,10
0,250,28,0.3953333333333333,0.24126798467748156,10
0,100,2,0.366,0.28589220032510615,100
0,150,2,0.368,0.2894356352642067,100
0,200,2,0.3546666666666667,0.26543259236347644,100
0,250,2,0.336,0.23226593424676492,100
0,100,4,0.3293333333333333,0.22143287795136266,100
0,150,4,0.31,0.1863300850493412,100
0,200,4,0.31,0.1863300850493412,100
0,250,4,0.31,0.1863300850493412,100
0,100,6,0.29533333333333334,0.1566765813174699,100
0,150,6,0.33066666666666666,0.22170909442230602,100
0,200,6,0.29533333333333334,0.1566765813174699,100
0,250,6,0.31,0.1863300850493412,100
0,100,8,0.31,0.1863300850493412,100
0,150,8,0.29533333333333334,0.1566765813174699,100
0,200,8,0.29533333333333334,0.1566765813174699,100
0,250,8,0.31,0.1863300850493412,100
0,100,10,0.31,0.1863300850493412,100
0,150,10,0.31,0.1863300850493412,100
0,200,10,0.31,0.1863300850493412,100
0,250,10,0.31,0.1863300850493412,100
0,100,12,0.31,0.1863300850493412,100
0,150,12,0.31,0.1863300850493412,100
0,200,12,0.31,0.1863300850493412,100
0,250,12,0.31,0.1863300850493412,100
0,100,14,0.31,0.1863300850493412,100
0,150,14,0.31,0.1863300850493412,100
0,200,14,0.31,0.1863300850493412,100
0,250,14,0.31,0.1863300850493412,100
0,100,16,0.31,0.1863300850493412,100
0,150,16,0.31,0.1863300850493412,100
0,200,16,0.31,0.1863300850493412,100
0,250,16,0.31,0.1863300850493412,100
0,100,18,0.31,0.1863300850493412,100
0,150,18,0.31,0.1863300850493412,100
0,200,18,0.31,0.1863300850493412,100
0,250,18,0.31,0.1863300850493412,100
0,100,20,0.31,0.1863300850493412,100
0,150,20,0.31,0.1863300850493412,100
0,200,20,0.31,0.1863300850493412,100
0,250,20,0.31,0.1863300850493412,100
0,100,22,0.31,0.1863300850493412,100
0,150,22,0.31,0.1863300850493412,100
0,200,22,0.31,0.1863300850493412,100
0,250,22,0.31,0.1863300850493412,100
0,100,24,0.31,0.1863300850493412,100
0,150,24,0.31,0.1863300850493412,100
0,200,24,0.31,0.1863300850493412,100
0,250,24,0.31,0.1863300850493412,100
0,100,26,0.31,0.1863300850493412,100
0,150,26,0.31,0.1863300850493412,100
0,200,26,0.31,0.1863300850493412,100
0,250,26,0.31,0.1863300850493412,100
0,100,28,0.31,0.1863300850493412,100
0,150,28,0.31,0.1863300850493412,100
0,200,28,0.31,0.1863300850493412,100
0,250,28,0.31,0.1863300850493412,100
0,100,2,0.404,0.34598348112261906,150
0,150,2,0.3466666666666667,0.24920415004199242,150
0,200,2,0.3466666666666667,0.24920415004199242,150
0,250,2,0.386,0.31680794692754854,150
0,100,4,0.31,0.1863300850493412,150
0,150,4,0.3273333333333333,0.21856504574590233,150
0,200,4,0.3273333333333333,0.21856504574590233,150
0,250,4,0.3273333333333333,0.21856504574590233,150
0,100,6,0.31,0.1863300850493412,150
0,150,6,0.31,0.1863300850493412,150
0,200,6,0.31,0.1863300850493412,150
0,250,6,0.31,0.1863300850493412,150
0,100,8,0.31,0.1863300850493412,150
0,150,8,0.31,0.1863300850493412,150
0,200,8,0.31,0.1863300850493412,150
0,250,8,0.31,0.1863300850493412,150
0,100,10,0.3273333333333333,0.21856504574590233,150
0,150,10,0.31,0.1863300850493412,150
0,200,10,0.31,0.1863300850493412,150
0,250,10,0.31,0.1863300850493412,150
0,100,12,0.31,0.18703287459445458,150
0,150,12,0.31,0.1863300850493412,150
0,200,12,0.31,0.1863300850493412,150
0,250,12,0.29533333333333334,0.1566765813174699,150
0,100,14,0.31,0.18703287459445458,150
0,150,14,0.31,0.1863300850493412,150
0,200,14,0.31,0.1863300850493412,150
0,250,14,0.29533333333333334,0.1566765813174699,150
0,100,16,0.31,0.18703287459445458,150
0,150,16,0.31,0.1863300850493412,150
0,200,16,0.31,0.1863300850493412,150
0,250,16,0.29533333333333334,0.1566765813174699,150
0,100,18,0.31,0.18703287459445458,150
0,150,18,0.31,0.1863300850493412,150
0,200,18,0.31,0.1863300850493412,150
0,250,18,0.29533333333333334,0.1566765813174699,150
0,100,20,0.31,0.18703287459445458,150
0,150,20,0.31,0.1863300850493412,150
0,200,20,0.31,0.1863300850493412,150
0,250,20,0.29533333333333334,0.1566765813174699,150
0,100,22,0.31,0.18703287459445458,150
0,150,22,0.31,0.1863300850493412,150
0,200,22,0.31,0.1863300850493412,150
0,250,22,0.29533333333333334,0.1566765813174699,150
0,100,24,0.31,0.18703287459445458,150
0,150,24,0.31,0.1863300850493412,150
0,200,24,0.31,0.1863300850493412,150
0,250,24,0.29533333333333334,0.1566765813174699,150
0,100,26,0.31,0.18703287459445458,150
0,150,26,0.31,0.1863300850493412,150
0,200,26,0.31,0.1863300850493412,150
0,250,26,0.29533333333333334,0.1566765813174699,150
0,100,28,0.31,0.18703287459445458,150
0,150,28,0.31,0.1863300850493412,150
0,200,28,0.31,0.1863300850493412,150
0,250,28,0.29533333333333334,0.1566765813174699,150
0,100,2,0.424,0.38262627505241303,200
0,150,2,0.446,0.41910752949716684,200
0,200,2,0.456,0.42802138866719874,200
0,250,2,0.4846666666666667,0.45333598885600995,200
0,100,4,0.31466666666666665,0.19466776402517438,200
0,150,4,0.316,0.21452945954714703,200
0,200,4,0.3293333333333333,0.22143287795136266,200
0,250,4,0.3293333333333333,0.22143287795136266,200
0,100,6,0.31,0.1863300850493412,200
0,150,6,0.31,0.1863300850493412,200
0,200,6,0.29533333333333334,0.1566765813174699,200
0,250,6,0.31,0.1863300850493412,200
0,100,8,0.29533333333333334,0.1566765813174699,200
0,150,8,0.29533333333333334,0.1566765813174699,200
0,200,8,0.29533333333333334,0.1566765813174699,200
0,250,8,0.29533333333333334,0.1566765813174699,200
0,100,10,0.29533333333333334,0.1566765813174699,200
0,150,10,0.29533333333333334,0.1566765813174699,200
0,200,10,0.29533333333333334,0.1566765813174699,200
0,250,10,0.29533333333333334,0.1566765813174699,200
0,100,12,0.29533333333333334,0.1566765813174699,200
0,150,12,0.29533333333333334,0.1566765813174699,200
0,200,12,0.29533333333333334,0.1566765813174699,200
0,250,12,0.29533333333333334,0.1566765813174699,200
0,100,14,0.29533333333333334,0.1566765813174699,200
0,150,14,0.29533333333333334,0.1566765813174699,200
0,200,14,0.29533333333333334,0.1566765813174699,200
0,250,14,0.29533333333333334,0.1566765813174699,200
0,100,16,0.29533333333333334,0.1566765813174699,200
0,150,16,0.29533333333333334,0.1566765813174699,200
0,200,16,0.29533333333333334,0.1566765813174699,200
0,250,16,0.29533333333333334,0.1566765813174699,200
0,100,18,0.29533333333333334,0.1566765813174699,200
0,150,18,0.29533333333333334,0.1566765813174699,200
0,200,18,0.29533333333333334,0.1566765813174699,200
0,250,18,0.29533333333333334,0.1566765813174699,200
0,100,20,0.29533333333333334,0.1566765813174699,200
0,150,20,0.29533333333333334,0.1566765813174699,200
0,200,20,0.29533333333333334,0.1566765813174699,200
0,250,20,0.29533333333333334,0.1566765813174699,200
0,100,22,0.29533333333333334,0.1566765813174699,200
0,150,22,0.29533333333333334,0.1566765813174699,200
0,200,22,0.29533333333333334,0.1566765813174699,200
0,250,22,0.29533333333333334,0.1566765813174699,200
0,100,24,0.29533333333333334,0.1566765813174699,200
0,150,24,0.29533333333333334,0.1566765813174699,200
0,200,24,0.29533333333333334,0.1566765813174699,200
0,250,24,0.29533333333333334,0.1566765813174699,200
0,100,26,0.29533333333333334,0.1566765813174699,200
0,150,26,0.29533333333333334,0.1566765813174699,200
0,200,26,0.29533333333333334,0.1566765813174699,200
0,250,26,0.29533333333333334,0.1566765813174699,200
0,100,28,0.29533333333333334,0.1566765813174699,200
0,150,28,0.29533333333333334,0.1566765813174699,200
0,200,28,0.29533333333333334,0.1566765813174699,200
0,250,28,0.29533333333333334,0.1566765813174699,200
0,100,2,0.36733333333333335,0.3063051752888377,250
0,150,2,0.372,0.3078193204339841,250
0,200,2,0.372,0.3078193204339841,250
0,250,2,0.38533333333333336,0.31633713118319234,250
0,100,4,0.348,0.25400984178351643,250
0,150,4,0.33066666666666666,0.24836141050236998,250
0,200,4,0.3006666666666667,0.24748169643371012,250
0,250,4,0.36733333333333335,0.2875165921567462,250
0,100,6,0.3466666666666667,0.25067465249470255,250
0,150,6,0.3466666666666667,0.25067465249470255,250
0,200,6,0.3466666666666667,0.25067465249470255,250
0,250,6,0.3466666666666667,0.25067465249470255,250
0,100,8,0.32,0.2208382000197909,250
0,150,8,0.29533333333333334,0.1566765813174699,250
0,200,8,0.316,0.19200211386423433,250
0,250,8,0.29533333333333334,0.1566765813174699,250
0,100,10,0.31533333333333335,0.26170078651880996,250
0,150,10,0.348,0.28787492456951375,250
0,200,10,0.33066666666666666,0.2497314630290263,250
0,250,10,0.29533333333333334,0.1566765813174699,250
0,100,12,0.31733333333333336,0.23788456697270613,250
0,150,12,0.376,0.3098750630913819,250
0,200,12,0.31333333333333335,0.2042957097368862,250
0,250,12,0.29533333333333334,0.1566765813174699,250
0,100,14,0.31733333333333336,0.23788456697270613,250
0,150,14,0.376,0.3098750630913819,250
0,200,14,0.31333333333333335,0.2042957097368862,250
0,250,14,0.29533333333333334,0.1566765813174699,250
0,100,16,0.31733333333333336,0.23788456697270613,250
0,150,16,0.376,0.3098750630913819,250
0,200,16,0.31333333333333335,0.2042957097368862,250
0,250,16,0.29533333333333334,0.1566765813174699,250
0,100,18,0.31733333333333336,0.23788456697270613,250
0,150,18,0.376,0.3098750630913819,250
0,200,18,0.31333333333333335,0.2042957097368862,250
0,250,18,0.29533333333333334,0.1566765813174699,250
0,100,20,0.31733333333333336,0.23788456697270613,250
0,150,20,0.376,0.3098750630913819,250
0,200,20,0.31333333333333335,0.2042957097368862,250
0,250,20,0.29533333333333334,0.1566765813174699,250
0,100,22,0.31733333333333336,0.23788456697270613,250
0,150,22,0.376,0.3098750630913819,250
0,200,22,0.31333333333333335,0.2042957097368862,250
0,250,22,0.29533333333333334,0.1566765813174699,250
0,100,24,0.31733333333333336,0.23788456697270613,250
0,150,24,0.376,0.3098750630913819,250
0,200,24,0.31333333333333335,0.2042957097368862,250
0,250,24,0.29533333333333334,0.1566765813174699,250
0,100,26,0.31733333333333336,0.23788456697270613,250
0,150,26,0.376,0.3098750630913819,250
0,200,26,0.31333333333333335,0.2042957097368862,250
0,250,26,0.29533333333333334,0.1566765813174699,250
0,100,28,0.31733333333333336,0.23788456697270613,250
0,150,28,0.376,0.3098750630913819,250
0,200,28,0.31333333333333335,0.2042957097368862,250
0,250,28,0.29533333333333334,0.1566765813174699,250
0,100,2,0.382,0.211178002894356,30
0,150,2,0.39666666666666667,0.2415634991916652,30
0,200,2,0.39666666666666667,0.2415634991916652,30
0,250,2,0.39666666666666667,0.2415634991916652,30
0,100,4,0.4106666666666667,0.312885496317648,30
0,150,4,0.4126666666666667,0.3033417079050882,30
0,200,4,0.4146666666666667,0.29091780317113536,30
0,250,4,0.398,0.28089840123775145,30
0,100,6,0.376,0.23610021034504897,30
0,150,6,0.39666666666666667,0.26351878492015285,30
0,200,6,0.376,0.23311436015782025,30
0,250,6,0.376,0.23311436015782025,30
0,100,8,0.378,0.3019054086202594,30
0,150,8,0.408,0.33605663603021335,30
0,200,8,0.3913333333333333,0.28137810696894117,30
0,250,8,0.3913333333333333,0.28137810696894117,30
0,100,10,0.38133333333333336,0.2531946509251901,30
0,150,10,0.37733333333333335,0.27616594054919913,30
0,200,10,0.36,0.22554315766723104,30
0,250,10,0.4106666666666667,0.3142054370003411,30
0,100,12,0.38133333333333336,0.2531946509251901,30
0,150,12,0.37733333333333335,0.27616594054919913,30
0,200,12,0.36,0.22256139254884139,30
0,250,12,0.4106666666666667,0.3142054370003411,30
0,100,14,0.38133333333333336,0.2531946509251901,30
0,150,14,0.37733333333333335,0.27616594054919913,30
0,200,14,0.36,0.22256139254884139,30
0,250,14,0.4106666666666667,0.3142054370003411,30
0,100,16,0.38133333333333336,0.2531946509251901,30
0,150,16,0.37733333333333335,0.27616594054919913,30
0,200,16,0.36,0.22256139254884139,30
0,250,16,0.4106666666666667,0.3142054370003411,30
0,100,18,0.38133333333333336,0.2531946509251901,30
0,150,18,0.37733333333333335,0.27616594054919913,30
0,200,18,0.36,0.22256139254884139,30
0,250,18,0.4106666666666667,0.3142054370003411,30
0,100,20,0.38133333333333336,0.2531946509251901,30
0,150,20,0.37733333333333335,0.27616594054919913,30
0,200,20,0.36,0.22256139254884139,30
0,250,20,0.4106666666666667,0.3142054370003411,30
0,100,22,0.38133333333333336,0.2531946509251901,30
0,150,22,0.37733333333333335,0.27616594054919913,30
0,200,22,0.36,0.22256139254884139,30
0,250,22,0.4106666666666667,0.3142054370003411,30
0,100,24,0.38133333333333336,0.2531946509251901,30
0,150,24,0.37733333333333335,0.27616594054919913,30
0,200,24,0.36,0.22256139254884139,30
0,250,24,0.4106666666666667,0.3142054370003411,30
0,100,26,0.38133333333333336,0.2531946509251901,30
0,150,26,0.37733333333333335,0.27616594054919913,30
0,200,26,0.36,0.22256139254884139,30
0,250,26,0.4106666666666667,0.3142054370003411,30
0,100,28,0.38133333333333336,0.2531946509251901,30
0,150,28,0.37733333333333335,0.27616594054919913,30
0,200,28,0.36,0.22256139254884139,30
0,250,28,0.4106666666666667,0.3142054370003411,30
0,100,2,0.3473333333333333,0.2402437045327364,300
0,150,2,0.36466666666666664,0.27808479418813387,300
0,200,2,0.3473333333333333,0.2402437045327364,300
0,250,2,0.33266666666666667,0.2183923746960988,300
0,100,4,0.36333333333333334,0.2866058887579835,300
0,150,4,0.36466666666666664,0.27808479418813387,300
0,200,4,0.36466666666666664,0.27808479418813387,300
0,250,4,0.36466666666666664,0.27808479418813387,300
0,100,6,0.29533333333333334,0.1566765813174699,300
0,150,6,0.31266666666666665,0.19147762966338788,300
0,200,6,0.29533333333333334,0.1566765813174699,300
0,250,6,0.31466666666666665,0.19466776402517438,300
0,100,8,0.31266666666666665,0.19147762966338788,300
0,150,8,0.332,0.22609215713772826,300
0,200,8,0.31466666666666665,0.19466776402517438,300
0,250,8,0.31466666666666665,0.19466776402517438,300
0,100,10,0.29533333333333334,0.1566765813174699,300
0,150,10,0.29533333333333334,0.1566765813174699,300
0,200,10,0.31466666666666665,0.19466776402517438,300
0,250,10,0.31466666666666665,0.19466776402517438,300
0,100,12,0.29533333333333334,0.1566765813174699,300
0,150,12,0.29533333333333334,0.1566765813174699,300
0,200,12,0.31466666666666665,0.19466776402517438,300
0,250,12,0.31466666666666665,0.19466776402517438,300
0,100,14,0.29533333333333334,0.1566765813174699,300
0,150,14,0.29533333333333334,0.1566765813174699,300
0,200,14,0.31466666666666665,0.19466776402517438,300
0,250,14,0.31466666666666665,0.19466776402517438,300
0,100,16,0.29533333333333334,0.1566765813174699,300
0,150,16,0.29533333333333334,0.1566765813174699,300
0,200,16,0.31466666666666665,0.19466776402517438,300
0,250,16,0.31466666666666665,0.19466776402517438,300
0,100,18,0.29533333333333334,0.1566765813174699,300
0,150,18,0.29533333333333334,0.1566765813174699,300
0,200,18,0.31466666666666665,0.19466776402517438,300
0,250,18,0.31466666666666665,0.19466776402517438,300
0,100,20,0.29533333333333334,0.1566765813174699,300
0,150,20,0.29533333333333334,0.1566765813174699,300
0,200,20,0.31466666666666665,0.19466776402517438,300
0,250,20,0.31466666666666665,0.19466776402517438,300
0,100,22,0.29533333333333334,0.1566765813174699,300
0,150,22,0.29533333333333334,0.1566765813174699,300
0,200,22,0.31466666666666665,0.19466776402517438,300
0,250,22,0.31466666666666665,0.19466776402517438,300
0,100,24,0.29533333333333334,0.1566765813174699,300
